radius,density,mass,gravity
938.626,12.89666,4.493867969794575e+22,3.404402276595019
951.484,12.89137,4.679944810687248e+22,3.450193684956391
964.342,12.88601,4.8710404243961875e+22,3.4959506503830085
977.2,12.88057,5.067218290181874e+22,3.541672674238382
990.058,12.87507,5.268541788762765e+22,3.587359311970889
1002.916,12.869489999999999,5.47507412791508e+22,3.6330101184948136
1015.774,12.86383,5.686878175614244e+22,3.6786245417477286
1028.632,12.85811,5.904016778578826e+22,3.724202138304757
1041.489,12.85231,6.1265350810816215e+22,3.7697389214041417
1054.347,12.84645,6.3545301780176445e+22,3.8152415301529445
1067.205,12.84051,6.588047277256362e+22,3.8607059786862665
1080.063,12.8345,6.827148399596848e+22,3.9061317681999914
1092.921,12.82841,7.071895370296499e+22,3.9515184006802433
1105.779,12.82226,7.3223499143073654e+22,3.9968654321451416
1118.637,12.816030000000001,7.57857356312341e+22,4.042172418101083
1131.495,12.80973,7.840627550274648e+22,4.087438860266729
1144.353,12.803360000000001,8.108573008905548e+22,4.132664314404
1157.211,12.79691,8.382470764900382e+22,4.177848282469989
1170.068,12.7904,8.662359533454889e+22,4.222986808551193
1182.926,12.783809999999999,8.948343369838955e+22,4.2680864698551115
1195.784,12.777149999999999,9.24046094414382e+22,4.3131432583734295
1208.642,12.77042,9.538772355715319e+22,4.358156729847708
1221.5,12.76361,9.843337372971329e+22,4.403126386209593
1221.5,12.16633,9.843337372971329e+22,4.403126386209593
1234.332,12.15972,1.0139061721262078e+23,4.441600712146815
1247.165,12.153049999999999,1.0440858009089035e+23,4.480165777828004
1259.997,12.14632,1.0748735421333806e+23,4.518809929719842
1272.83,12.13954,1.106279809887788e+23,4.5575338640828935
1285.662,12.132700000000002,1.138305305090388e+23,4.596326466339861
1298.494,12.1258,1.17095801242763e+23,4.635185848097142
1311.327,12.11885,1.2042461067378527e+23,4.674110420581672
1324.159,12.11184,1.2381699359650033e+23,4.71308969596773
1336.991,12.10478,1.2727375839585149e+23,4.7521224751653675
1349.824,12.09765,1.3079573020096927e+23,4.791207711547528
1362.656,12.09047,1.3438290608825996e+23,4.8303353901783765
1375.489,12.08323,1.380363905505281e+23,4.869507903132329
